"Município";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"6 a 8 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 15 a 49 anos";"9 a 19 anos";" Total"
"220070 ANISIO DE ABREU";"13";"120";"13";"90";"22";"8";"4";"0";"1432";"938";"100";"26";"349";"0";"0";"0";"0";"63";"34";"120";"108";"38";"25";"3";"0";"0";"0";"0";"0";"0";"4";"1";"11";"0";"0";"7";"0";"0";"0";"0";"1";"0";"0";"0";"0";"13";"16";"8";"5";"26";"4";"0";"0";"46";"2";"23";"2";"1";"0";"3";"22";"13";"0";"12";"5";"18";"11";"0";"10";"312";"180";"0";"4262"
"220080 ANTONIO ALMEIDA";"1";"23";"3";"24";"14";"2";"1";"0";"375";"407";"7";"0";"181";"0";"0";"0";"0";"17";"7";"36";"18";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"14";"12";"11";"9";"0";"0";"0";"18";"0";"3";"2";"1";"0";"0";"2";"0";"0";"0";"6";"0";"0";"0";"2";"120";"54";"0";"1390"
"220090 AROAZES";"17";"79";"4";"64";"6";"0";"0";"0";"875";"525";"4";"1";"492";"0";"0";"0";"0";"50";"21";"248";"95";"19";"26";"8";"0";"0";"0";"0";"0";"0";"1";"3";"61";"0";"0";"5";"0";"0";"2";"0";"185";"1";"0";"14";"0";"36";"56";"129";"44";"92";"5";"0";"0";"154";"23";"32";"18";"18";"0";"4";"38";"0";"3";"0";"24";"0";"0";"0";"6";"172";"479";"0";"4139"
"220095 AROEIRAS DO ITAIM";"4";"16";"3";"19";"4";"5";"0";"0";"316";"194";"8";"0";"45";"1";"0";"0";"0";"10";"18";"18";"26";"6";"9";"5";"0";"0";"0";"0";"0";"0";"1";"0";"35";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"4";"0";"6";"0";"9";"11";"19";"1";"0";"0";"27";"16";"0";"3";"5";"0";"8";"1";"0";"1";"0";"6";"0";"0";"0";"0";"0";"76";"0";"940"
"220100 ARRAIAL";"2";"32";"4";"33";"3";"2";"1";"0";"443";"373";"5";"4";"117";"1";"0";"0";"0";"26";"8";"21";"6";"8";"13";"6";"0";"1";"1";"0";"0";"0";"2";"0";"3";"0";"0";"5";"0";"0";"0";"0";"2";"0";"0";"2";"0";"3";"0";"7";"1";"24";"0";"0";"0";"6";"11";"0";"15";"12";"0";"10";"4";"0";"1";"0";"12";"0";"0";"0";"2";"62";"212";"0";"1506"
"220105 ASSUNCAO DO PIAUI";"46";"105";"11";"96";"19";"11";"5";"0";"1391";"775";"39";"10";"415";"2";"0";"0";"0";"71";"40";"222";"123";"54";"29";"5";"0";"1";"0";"0";"0";"0";"10";"1";"29";"2";"0";"16";"0";"1";"4";"0";"3";"4";"0";"23";"0";"42";"58";"13";"45";"34";"2";"1";"0";"29";"1";"6";"2";"4";"0";"0";"2";"0";"10";"0";"15";"0";"0";"0";"2";"246";"189";"0";"4264"
"220110 AVELINO LOPES";"125";"190";"16";"168";"32";"11";"1";"0";"2502";"1718";"47";"3";"630";"0";"0";"0";"0";"103";"48";"230";"186";"33";"17";"7";"0";"0";"0";"0";"0";"0";"5";"3";"94";"0";"0";"8";"0";"0";"0";"0";"7";"0";"0";"12";"1";"12";"12";"44";"11";"25";"3";"0";"0";"68";"22";"14";"38";"23";"0";"13";"36";"0";"17";"0";"132";"0";"0";"0";"8";"328";"285";"0";"7288"
"220115 BAIXA GRANDE DO RIBEIRO";"139";"232";"66";"171";"99";"30";"12";"9";"3680";"1917";"67";"26";"474";"2";"0";"0";"0";"79";"78";"108";"106";"50";"43";"12";"0";"0";"0";"0";"0";"1";"6";"3";"9";"0";"0";"16";"0";"0";"0";"0";"3";"2";"0";"20";"0";"31";"86";"77";"36";"127";"0";"0";"0";"117";"28";"6";"27";"10";"0";"10";"17";"0";"0";"0";"27";"0";"0";"0";"14";"604";"455";"0";"9132"
"220117 BARRA D\'ALCANTARA";"12";"49";"3";"43";"12";"1";"0";"0";"647";"311";"3";"1";"296";"0";"0";"0";"0";"57";"8";"122";"83";"21";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"97";"0";"0";"1";"0";"0";"0";"0";"157";"0";"0";"3";"0";"2";"8";"6";"9";"20";"4";"0";"0";"30";"10";"1";"2";"4";"0";"2";"2";"0";"0";"0";"24";"0";"0";"0";"0";"76";"115";"0";"2246"
"220120 BARRAS";"278";"566";"85";"430";"157";"48";"28";"3";"7997";"5560";"359";"78";"2797";"24";"2";"0";"0";"548";"334";"1240";"813";"182";"77";"19";"1";"3";"0";"0";"0";"4";"102";"20";"621";"0";"0";"143";"0";"6";"1";"0";"434";"4";"0";"90";"1";"179";"238";"969";"220";"715";"7";"3";"6";"870";"422";"193";"377";"273";"4";"189";"255";"1";"45";"1";"308";"4";"6";"0";"14";"1300";"2148";"17";"31819"
